Values ,Y
0.4208,9
0.4218,2
0.4223,8
0.4233,3
0.4238,6
0.4258,4
0.4258,7
0.4258,1
0.4263,5
0.4268,40
0.4268,13
0.4268,18
0.4268,33
0.4268,19
0.4278,31
0.4278,24
0.4278,11
0.4278,22
0.4278,5
0.4283,29
0.4283,3
0.4283,23
0.4288,6
0.4288,17
0.4293,35
0.4293,34
0.4293,2
0.4298,12
0.4303,8
0.4303,15
0.4303,1
0.4303,32
0.4303,42
0.4303,7
0.4308,9
0.4308,39
0.4308,14
0.4313,20
0.4313,10
0.4313,36
0.4313,38
0.4318,26
0.4318,27
0.4318,28
0.4318,37
0.4318,25
0.4318,16
0.4323,41
0.4323,21
0.4323,4
0.4323,30
0.4328,42
0.4328,13
0.4328,56
0.4328,64
0.4328,55
0.4333,33
0.4333,8
0.4333,78
0.4333,45
0.4333,19
0.4333,81
0.4333,36
0.4338,30
0.4338,7
0.4338,23
0.4338,74
0.4338,12
0.4338,60
0.4343,65
0.4343,62
0.4343,54
0.4343,58
0.4343,32
0.4343,37
0.4343,6
0.4348,26
0.4348,14
0.4348,22
0.4348,31
0.4353,53
0.4353,71
0.4353,17
0.4353,24
0.4353,48
0.4353,43
0.4353,59
0.4353,82
0.4358,10
0.4358,38
0.4358,9
0.4358,52
0.4358,50
0.4358,34
0.4363,4
0.4363,73
0.4363,66
0.4363,21
0.4363,72
0.4363,15
0.4363,5
0.4363,35
0.4363,11
0.4363,49
0.4363,63
0.4368,76
0.4368,41
0.4368,27
0.4368,29
0.4368,44
0.4368,18
0.4373,68
0.4373,40
0.4373,61
0.4373,51
0.4373,25
0.4378,69
0.4378,16
0.4378,46
0.4378,77
0.4378,20
0.4378,1
0.4378,28
0.4378,67
0.4378,75
0.4383,57
0.4383,39
0.4383,3
0.4383,79
0.4383,2
0.4383,70
0.4383,47
0.4383,80
0.4388,100
0.4388,178
0.4388,54
0.4388,182
0.4388,64
0.4392,136
0.4393,14
0.4393,116
0.4393,97
0.4393,109
0.4393,24
0.4393,84
0.4393,39
0.4393,128
0.4393,18
0.4393,86
0.4393,169
0.4393,22
0.4393,172
0.4393,79
0.4393,174
0.4393,26
0.4393,166
0.4397,137
