dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 1024 "Rectangular" 1 1 )) X,dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 1024 "Rectangular" 1 1 )) Y
0,-7.021525148445574
976562.4999999999,-72.6537602693334
1953125,-67.64914409657185
2929687.5,-78.5072825320571
3906250,-68.87796692416599
4882812.499999999,-72.80739904959852
5859374.999999999,-71.40979456131441
6835937.499999999,-75.4739227826493
7812499.999999999,-67.6981541395968
8789062.499999998,-83.33561244785355
9765624.999999998,-63.08495142898261
10742187.5,-75.14251180260386
11718750,-76.18904228093476
12695312.5,-75.14821932403493
13671875,-77.89453211476928
14648437.5,-85.01401422699469
15625000,-71.81566876441173
16601562.5,-81.3116077773722
17578125,-70.13357874208907
18554687.5,-77.32618545584735
19531250,-78.03990988845398
20507812.5,-73.65125117655261
21484375,-72.066581625899
22460937.5,-74.77258859860183
23437500,-67.91447394219097
24414062.5,-76.30878485052222
25390625,-66.07041334303237
26367187.5,-85.21498346634954
27343750,-69.51039221155709
28320312.5,-76.02772510556248
29296875,-67.02568577229161
30273437.5,-80.04051085610028
31250000,-75.16675214414121
32226562.5,-73.3965521934534
33203125,-66.56028384562761
34179687.49999999,-71.12602261120833
35156249.99999999,-64.24645648430848
36132812.49999999,-70.4653176619363
37109374.99999999,-71.18520061111892
38085937.49999999,-76.29217736380602
39062499.99999999,-72.22955393199791
40039062.49999999,-71.38319000555589
41015624.99999999,-69.88769579029631
41992187.49999999,-82.32058543023865
42968749.99999999,-65.45010752475179
43945312.49999999,-81.34908370631175
44921874.99999999,-75.41707676062495
45898437.49999999,-77.76916358126068
46874999.99999999,-69.62675931248236
47851562.49999999,-78.76119368657098
48828124.99999999,-78.40914883652395
49804687.49999999,-78.82776420782074
50781249.99999999,-67.89940206092541
51757812.49999999,-72.16786076869055
52734374.99999999,-65.21851314720578
53710937.49999999,-94.83736146350951
54687499.99999999,-65.42093405466112
55664062.49999999,-70.91200970226112
56640624.99999999,-68.33901229788835
57617187.49999999,-73.23531596288716
58593749.99999999,-64.34904378614814
59570312.49999999,-70.92196104402861
60546874.99999999,-76.01541482151733
61523437.49999999,-72.42299160006165
62499999.99999999,-77.88325392931785
63476562.49999999,-81.16962401550194
64453124.99999999,-73.67192823213901
65429687.49999999,-86.4664596531519
66406249.99999999,-63.10947167402634
67382812.49999999,-79.31093131308266
68359374.99999999,-69.11336331398462
69335937.49999999,-76.46766592677855
70312499.99999999,-67.92090776402264
71289062.49999999,-74.84964581113691
72265624.99999999,-78.64437893676762
73242187.49999999,-74.90965929846581
74218749.99999999,-72.22730699833502
75195312.49999999,-74.48989386964637
76171874.99999999,-73.3153654145938
77148437.49999999,-72.91918313780059
78124999.99999999,-64.01042014568667
79101562.49999999,-76.14740223650077
80078124.99999999,-72.16330764203857
81054687.49999999,-74.22924584390228
82031249.99999999,-70.94517652950283
83007812.49999999,-83.10491336740455
83984374.99999999,-73.15910167906807
84960937.49999999,-80.98183839483353
85937499.99999999,-79.71093386700305
86914062.49999999,-74.18416305935882
87890624.99999999,-73.88026812723169
88867187.49999999,-70.04284311357651
89843749.99999999,-71.94430734263454
90820312.49999999,-70.09337295819226
91796874.99999999,-72.33118894885641
92773437.49999999,-68.42359772122643
93749999.99999999,-66.14023949671765
94726562.49999999,-70.00930137428162
95703124.99999999,-6.945580427469165
96679687.49999999,-67.94521313337115
97656249.99999999,-71.08271561455976
98632812.49999999,-73.6863939890234
99609374.99999999,-69.73441901818995
100585937.5,-86.22564475830531
101562500,-79.77347558435298
102539062.5,-81.82522808871002
103515625,-77.02852809293348
104492187.5,-71.83809493251594
105468750,-60.6331076371302
106445312.5,-88.6853019596907
107421875,-71.96989993323508
108398437.5,-73.6086738591072
109375000,-80.82642401447866
110351562.5,-80.11302703506453
111328125,-74.14260407261706
112304687.5,-73.24857709576962
113281250,-67.16574493736059
114257812.5,-73.33155375724033
115234375,-66.68306845455145
116210937.5,-70.15272584394091
117187500,-75.05086091291724
118164062.5,-78.88924313991208
119140625,-79.24660781953358
120117187.5,-74.38849675977006
121093750,-69.73444485053354
122070312.5,-75.81133399767268
123046875,-77.52787787917416
124023437.5,-84.28310236098501
125000000,-68.99053377606872
125976562.5,-76.91543823685375
126953125,-75.56717659417768
127929687.5,-82.15879075821816
128906250,-71.01509251218761
129882812.5,-73.82724055223618
130859375,-63.50272114567838
131835937.5,-80.55739583638268
132812500,-68.92806095542987
133789062.5,-80.1067847595171
134765625,-68.03832689118499
