clip(dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 8192 "Rectangular" 1 1 )) 0 1G ) X,clip(dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 8192 "Rectangular" 1 1 )) 0 1G ) Y
0,-7.021792857221492
976562.4999999999,-73.85205185683502
1953125,-68.44149683154195
2929687.5,-75.97754506798043
3906250,-70.03629636638551
4882812.499999999,-74.95663472436223
5859374.999999999,-69.3120602660988
6835937.499999999,-78.6375884225005
7812499.999999999,-68.6625655860099
8789062.499999998,-96.99735887602043
9765624.999999998,-63.85079184662706
10742187.5,-79.52179682681785
11718750,-74.80789503775868
12695312.5,-73.71244966075838
13671875,-81.35767429536381
14648437.5,-82.89526878844835
15625000,-70.90523568019385
16601562.5,-83.92228593383707
17578125,-69.87079343844448
18554687.5,-75.17826266000601
19531250,-77.10314474746342
20507812.5,-76.75192982673252
21484375,-74.98896927470922
22460937.5,-72.77177191449226
23437500,-66.40145005520172
24414062.5,-81.6238945626169
25390625,-67.52962515107178
26367187.5,-79.61064503214628
27343750,-70.76644045216966
28320312.5,-73.36615785062578
29296875,-66.94035862101526
30273437.5,-78.00037586647633
31250000,-76.2365694763579
32226562.5,-74.35472513571979
33203125,-66.31096600396687
34179687.49999999,-70.65099441767748
35156249.99999999,-63.99943549513491
36132812.49999999,-71.02001693767369
37109374.99999999,-69.27449764085571
38085937.49999999,-77.27149819406799
39062499.99999999,-69.94128671929572
40039062.49999999,-73.77088680156831
41015624.99999999,-72.18862183489118
41992187.49999999,-79.85756507829345
42968749.99999999,-65.80234405568213
43945312.49999999,-76.67632485544627
44921874.99999999,-73.04500216277563
45898437.49999999,-78.00860987182253
46874999.99999999,-68.81665000275397
47851562.49999999,-80.50859962531845
48828124.99999999,-79.66103486861057
49804687.49999999,-81.6002014884232
50781249.99999999,-68.66563225789797
51757812.49999999,-74.36030544654047
52734374.99999999,-64.30118828515779
53710937.49999999,-83.81485102041391
54687499.99999999,-66.47418703509464
55664062.49999999,-71.18662300343131
56640624.99999999,-69.39178269143133
57617187.49999999,-76.968057886884
58593749.99999999,-64.15874235042789
59570312.49999999,-69.10379582750488
60546874.99999999,-80.27699084045678
61523437.49999999,-73.97101004863558
62499999.99999999,-75.93359617310415
63476562.49999999,-81.66722969333814
64453124.99999999,-74.00510621586731
65429687.49999999,-84.63832847274476
66406249.99999999,-63.60235877830123
67382812.49999999,-78.37027301518637
68359374.99999999,-70.69544516288575
69335937.49999999,-79.67180891694329
70312499.99999999,-68.07968540433448
71289062.49999999,-73.38546465850334
72265624.99999999,-77.2624222123067
73242187.49999999,-73.60252403432165
74218749.99999999,-72.87524079733683
75195312.49999999,-71.87630199899849
76171874.99999999,-76.53414972029834
77148437.49999999,-75.46089985566259
78124999.99999999,-64.59358586900953
79101562.49999999,-77.66052278952951
80078124.99999999,-72.72594835829227
81054687.49999999,-74.26624119935866
82031249.99999999,-70.55328276726124
83007812.49999999,-87.61714223457905
83984374.99999999,-71.34418335274675
84960937.49999999,-76.86644316390449
85937499.99999999,-75.3004680503558
86914062.49999999,-75.51975605241974
87890624.99999999,-72.88584680482047
88867187.49999999,-72.29195049356665
89843749.99999999,-74.81875661428889
90820312.49999999,-68.64788538290563
91796874.99999999,-72.30909886485651
92773437.49999999,-69.85077516929255
93749999.99999999,-65.44837981571392
94726562.49999999,-70.86560205854684
95703124.99999999,-7.074474810299328
96679687.49999999,-68.43542339079113
97656249.99999999,-70.43376117075472
98632812.49999999,-74.8704361267999
99609374.99999999,-71.29214975406977
100585937.5,-80.11640821803088
101562500,-77.25058891839754
102539062.5,-85.76135260949967
103515625,-75.12295619686908
104492187.5,-75.00407376956869
105468750,-61.1288586233255
106445312.5,-79.16683580708329
107421875,-72.84772533816958
108398437.5,-75.84894545596681
109375000,-87.30747573789544
110351562.5,-78.76089434811192
111328125,-72.94514409839685
112304687.5,-73.84328358757766
113281250,-67.75214552426706
114257812.5,-75.00454910886134
115234375,-67.68076274347672
116210937.5,-70.00985840885407
117187500,-74.07649281080658
118164062.5,-76.25705356687894
119140625,-89.31307888108039
120117187.5,-75.21842751656888
121093750,-68.19761308243004
122070312.5,-73.31970485619159
123046875,-73.8091765426754
124023437.5,-82.71103328717237
125000000,-67.92920719782376
125976562.5,-75.64670593122214
126953125,-74.26350061543673
127929687.5,-80.70879279943485
128906250,-70.81988027178222
129882812.5,-75.34454658319753
130859375,-64.2609075246661
131835937.5,-77.43490345771229
132812500,-68.61276648906841
133789062.5,-84.53759640628338
134765625,-68.79822461817112
135742187.5,-79.15140034669544
136718750,-70.24822260593164
137695312.5,-72.59782689503049
138671875,-57.07357785496455
139648437.5,-75.87852719873302
140625000,-81.29330780254141
141601562.5,-78.32417831403818
142578125,-68.22181330067656
143554687.5,-79.16200315599289
144531250,-80.03609609096796
145507812.5,-72.12425943218803
146484375,-69.56698750263374
147460937.5,-80.97884715997132
148437500,-60.89437757971506
149414062.5,-73.53741229668873
150390625,-69.7475113307093
151367187.5,-85.07927780374038
152343750,-69.76808975015705
153320312.5,-71.25590369850592
154296875,-86.66146048564001
155273437.5,-73.76972640665201
156250000,-69.41185223280272
157226562.5,-84.58682347143041
158203125,-76.64867416272571
159179687.5,-88.21306900910452
160156250,-72.57652137227639
161132812.5,-91.90599455827591
162109375,-81.29629822905048
163085937.5,-80.63068317040876
164062500,-63.64675295654582
165039062.5,-79.48544864766697
166015625,-70.98349961612188
166992187.5,-85.43654953957554
167968750,-78.41549789755663
168945312.5,-74.56327603015902
169921875,-70.2884783348259
170898437.5,-74.85586254822647
171875000,-69.08132181138913
172851562.5,-77.24832677272869
173828125,-67.34802779532313
174804687.5,-75.85927582061116
175781250,-77.55213577325756
176757812.5,-81.403438232681
177734375,-65.23592611105856
178710937.5,-73.27351697364713
179687500,-73.66638391068882
180664062.5,-77.28519360602587
181640625,-65.80447316513703
182617187.5,-81.57216508244497
183593750,-65.12513598916344
184570312.5,-75.25185563723217
185546875,-69.12681379642569
186523437.5,-77.72633735633495
187500000,-76.34651387688817
188476562.5,-78.23666930066227
189453125,-71.53937605269873
190429687.5,-80.264292001621
191406250,-52.714431237132
192382812.5,-83.44243741864926
193359375,-66.36770611289408
194335937.5,-89.20538584636441
195312500,-69.14773761158926
196289062.5,-73.00952232047494
197265625,-83.15355958138821
198242187.5,-85.64415218260613
199218750,-71.50486849674441
200195312.5,-77.95188112611235
201171875,-67.85629038921731
202148437.5,-76.46411421891091
203125000,-69.91833362691754
204101562.5,-71.34480682129946
205078125,-77.16561315556963
206054687.5,-79.63069654766817
207031250,-75.62689372965924
208007812.5,-76.19009989131511
208984375,-73.53377497406726
209960937.5,-81.52132927319143
210937500,-73.38543907776646
211914062.5,-80.2040094278879
212890625,-84.52219119917456
213867187.5,-92.73488770067064
214843750,-67.70731922412757
215820312.5,-82.7425902765071
216796875,-66.8747903644301
217773437.5,-74.51800544547739
218750000,-64.67909646801569
219726562.5,-71.49978083507575
220703125,-67.09906056705613
221679687.5,-92.31899847635869
222656250,-77.51218011691547
223632812.5,-73.62974695838322
224609375,-75.99171498853158
225585937.5,-76.80656297951504
226562500,-63.09886149916856
227539062.5,-74.6685995488096
228515625,-76.96708053407025
229492187.5,-75.66783458557445
230468750,-69.63481902963275
231445312.5,-78.28531858310731
232421875,-78.12756595865538
233398437.5,-79.13920709649112
234375000,-52.57615951929511
235351562.5,-71.40710064340057
236328125,-71.94555226158107
237304687.5,-74.75314710266525
238281250,-69.99489809980207
239257812.5,-81.36043120491529
240234375,-79.21167520355438
241210937.5,-75.04185944368709
242187500,-69.17191500349993
243164062.5,-78.15522662045137
244140625,-65.13153083158176
245117187.5,-81.55608529886469
246093750,-86.81906572602583
247070312.5,-73.26904519354322
248046875,-96.91697986164786
249023437.5,-74.905321098033
250000000,-66.35888192827022
250976562.5,-77.73293919269261
251953125,-69.70022792474094
252929687.5,-76.01675728263383
253906250,-71.07864772253254
254882812.5,-82.88571349233735
255859375,-77.40080382139291
256835937.5,-84.97062458597161
257812500,-78.85950039782928
258789062.5,-74.25340094916237
259765625,-71.60124642701474
260742187.5,-76.87810596082871
261718750,-77.387091859276
262695312.5,-73.77242980681453
263671875,-76.96317319822367
264648437.5,-75.19271865803587
265625000,-73.49480404136533
266601562.5,-84.37144996549742
267578125,-81.11723543018658
268554687.4999999,-82.48939069814978
269531249.9999999,-81.6807178571306
270507812.4999999,-80.67200447540748
271484374.9999999,-68.08300466677211
272460937.4999999,-75.19919298999353
273437499.9999999,-85.01809100248522
274414062.4999999,-73.7607508768655
275390624.9999999,-73.26191733314154
276367187.4999999,-75.21489602876828
277343749.9999999,-68.6598730688618
278320312.4999999,-76.08544786147922
279296874.9999999,-83.47595642871943
280273437.4999999,-80.10326242853675
281249999.9999999,-71.50580590695533
282226562.4999999,-79.90230052460731
283203124.9999999,-70.11173450287852
284179687.4999999,-78.49974128681484
285156249.9999999,-73.63379134827173
286132812.4999999,-79.72275636936133
287109374.9999999,-55.87339239678984
288085937.4999999,-74.69994988495675
289062499.9999999,-71.88972621095454
290039062.4999999,-73.75210696769179
291015624.9999999,-67.77925464074799
291992187.4999999,-75.35150184149869
292968749.9999999,-66.31835798402149
293945312.4999999,-76.68209257264481
294921874.9999999,-71.61661923158805
295898437.4999999,-79.15339873021311
296874999.9999999,-67.77983311356752
297851562.4999999,-78.24220999142196
298828124.9999999,-69.50798375848666
299804687.4999999,-79.8262907024186
300781249.9999999,-76.61504264654249
301757812.4999999,-85.93283024842761
302734374.9999999,-74.14894071987202
303710937.4999999,-72.84764105272978
304687499.9999999,-67.19646861450248
305664062.4999999,-74.23796034712586
306640624.9999999,-76.05130829478223
307617187.4999999,-71.69964861123113
308593749.9999999,-74.51506099245623
309570312.4999999,-80.34147550588794
310546874.9999999,-93.61093225464653
311523437.4999999,-77.72336428630467
312499999.9999999,-77.92606763579479
313476562.4999999,-79.55983953483478
314453124.9999999,-65.40097006229932
315429687.4999999,-79.74910279882347
316406249.9999999,-76.45236583526115
317382812.4999999,-75.47230606509771
318359374.9999999,-75.62060787316128
319335937.4999999,-73.03143137436589
320312499.9999999,-80.96755926530052
321289062.4999999,-76.88562946344392
322265624.9999999,-72.2790979830007
323242187.4999999,-77.26700950407232
324218749.9999999,-83.03768292261647
325195312.4999999,-80.99622790051809
326171874.9999999,-71.54222161811883
327148437.4999999,-85.02365229477573
328124999.9999999,-72.32497535525231
329101562.4999999,-75.59287533754417
330078124.9999999,-60.48358071886882
331054687.4999999,-72.67430600065582
332031249.9999999,-88.90748743735847
333007812.4999999,-76.69204733053355
333984374.9999999,-73.91667219999952
334960937.4999999,-73.86720055784119
335937499.9999999,-75.64585567566859
336914062.4999999,-74.51678468379055
337890624.9999999,-76.6094774622169
338867187.4999999,-82.7202455171513
339843749.9999999,-75.95695738769783
340820312.4999999,-77.91626568203077
341796874.9999999,-68.01619728945857
342773437.4999999,-90.57361769670148
343749999.9999999,-68.62778647506872
344726562.4999999,-76.09433671110166
345703124.9999999,-68.16996429425497
346679687.4999999,-73.54830250969923
347656249.9999999,-62.33521735593246
348632812.4999999,-80.16331815496245
349609374.9999999,-81.38660566520757
350585937.4999999,-84.69585602225881
351562499.9999999,-80.46532548627528
352539062.4999999,-71.56901422146991
353515624.9999999,-67.09909009286417
354492187.4999999,-90.99935162972619
355468749.9999999,-75.75126043492024
356445312.4999999,-74.62659923325187
357421874.9999999,-80.16443657653616
358398437.4999999,-86.27808240495438
359374999.9999999,-75.07947481829339
360351562.4999999,-75.60430679496827
361328124.9999999,-84.02506971041294
362304687.4999999,-83.85955911865022
363281249.9999999,-74.11562206821748
364257812.4999999,-75.30946457639477
365234374.9999999,-74.87157527947564
366210937.4999999,-87.11908518660437
367187499.9999999,-68.76156380023882
368164062.4999999,-71.26921657505423
369140624.9999999,-65.60482776959464
370117187.4999999,-80.05412529929528
371093749.9999999,-71.04269032024598
372070312.4999999,-76.74012215959742
373046874.9999999,-60.42797480651022
374023437.4999999,-74.84097222517933
374999999.9999999,-66.81744394007482
375976562.4999999,-87.86910037033262
376953124.9999999,-99.25268500804286
377929687.4999999,-89.53572721962691
378906249.9999999,-78.65208991199763
